transaction date,district,transaction type,land shifting total area,num_building,num_land,num_garage,total floor number,building state,main building materials,complete year,building shifting total area,num_room,num_bathroom,compartment,management org,carpark type,carpark shifting area,carpark total price,main building area,subsidiary building area,balcony area,elevator,total ntd,unit ntd
2020-01-10,Beitou District,Land+Building,23.85,1,3,0,4.0,Apartment_5storey,Reinforced Concrete,66.0,65.25,2,1,1,0,No carpark,0.0,0,57.15,0.0,8.1,0,8100000,124138
2020-01-07,Beitou District,,2.58,0,0,1,5.0,Other,Reinforced Concrete,70.0,32.370000000000005,0,0,1,1,Ramp Plane,32.37,2050000,0.0,0.0,0.0,0,2050000,
2020-01-07,Beitou District,,2.58,0,0,1,5.0,Other,Reinforced Concrete,70.0,32.370000000000005,0,0,1,1,Ramp Plane,32.37,2350000,0.0,0.0,0.0,0,2350000,
2020-01-07,Beitou District,,2.58,0,0,1,5.0,Other,Reinforced Concrete,70.0,32.370000000000005,0,0,1,1,Ramp Plane,32.37,2050000,0.0,0.0,0.0,0,2050000,
2020-01-07,Beitou District,,2.58,0,0,1,5.0,Other,Reinforced Concrete,70.0,32.370000000000005,0,0,1,1,Ramp Plane,32.37,2750000,0.0,0.0,0.0,0,2750000,
2020-01-08,Shilin District,Land+Building,11.69,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,61.0,30.7,1,1,1,0,No carpark,0.0,0,27.5,1.85,1.35,0,4700000,153094
2020-01-07,Beitou District,Land+Building,61.75,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,64.0,151.83,3,2,1,0,No carpark,0.0,0,151.83,0.0,0.0,0,18000000,118554
2020-01-03,Shilin District,Land+Building,18.51,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,74.0,106.55,3,2,1,1,No carpark,0.0,0,70.42,0.0,22.27,1,16260000,152604
2020-01-14,Zhongshan District,,2.69,0,0,1,9.0,Other,Reinforced Concrete,81.0,30.22,0,0,1,1,Lifting Machinery,0.0,1500000,0.0,0.0,0.0,0,1500000,
2020-01-09,Neihu District,Land+Building+Garage,70.99,1,1,1,4.0,Apartment_5to10storey,Reinforced Concrete,105.0,153.56,2,1,1,1,Ramp Plane,33.15,2200000,62.01,9.4,8.3,1,19800000,146167
2020-01-04,Wenshan District,Land+Building,41.14,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,84.0,136.06,2,2,1,1,No carpark,0.0,0,86.48,2.48,9.72,1,14580000,107159
2020-01-07,Wenshan District,Land+Building,13.4,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,,46.92,3,1,1,0,No carpark,0.0,0,43.52,3.4,0.0,0,4670000,99531
2020-01-10,Xinyi District,Land+Building,4.0,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,58.0,10.12,2,1,1,0,No carpark,0.0,0,10.12,0.0,0.0,0,2200000,217391
2020-01-09,Xinyi District,,0.54,0,0,1,17.0,Other,Other,82.0,38.1,0,0,1,1,Ramp Plane,38.1,2850000,0.0,0.0,0.0,0,2850000,
2020-01-01,Daan District,Land+Building,27.6,1,1,0,5.0,Apartment_5storey,Reinforced Concrete,76.0,108.95,3,2,1,0,No carpark,0.0,0,97.36,0.0,8.42,0,18500000,169803
2020-01-07,Daan District,Land+Building,3.31,1,2,0,14.0,Suite,Reinforced Concrete,96.0,38.94,1,1,1,1,No carpark,0.0,0,21.0,0.62,2.65,0,13800000,354391
2020-01-07,Daan District,Land+Building,19.9,1,1,0,10.0,Apartment_5to10storey,Reinforced Concrete,,178.88,0,0,0,1,No carpark,0.0,0,178.88,0.0,0.0,1,51500000,287903
2020-01-06,Daan District,Land+Building,3.94,1,1,0,12.0,Apartment_11storeyorgreater,Reinforced Concrete,78.0,57.97,2,1,1,1,No carpark,0.0,0,40.2,1.08,5.04,1,15435000,266258
2020-01-10,Shilin District,,0.16,0,0,1,15.0,Other,Reinforced Concrete,97.0,21.38,0,0,1,1,Ramp Machinery,0.0,950000,0.0,0.0,0.0,0,950000,
2020-01-03,Beitou District,Land+Building+Garage,25.83,1,1,1,14.0,Apartment_11storeyorgreater,Reinforced Concrete,94.0,150.44,4,2,1,1,Ramp Plane,33.44,0,73.41,2.51,7.81,1,22200000,147567
2020-01-13,Beitou District,Land+Building,4.13,1,1,0,8.0,Suite,Reinforced Concrete,67.0,25.5,1,1,1,0,No carpark,0.0,0,20.83,1.55,0.0,0,2500000,98039
2020-01-03,Neihu District,Land+Building+Garage,25.02,1,1,1,11.0,Apartment_11storeyorgreater,Reinforced Concrete,103.0,178.39,3,2,1,1,Tower,10.22,1800000,87.22,7.73,9.5,1,28850000,160849
2020-01-04,Daan District,Land+Building,31.29,1,1,0,7.0,Apartment_5to10storey,Reinforced Concrete,73.0,141.96,4,2,1,0,No carpark,0.0,0,118.74,0.0,15.94,1,35500000,250070
2020-01-03,Beitou District,Land+Building,10.58,1,2,0,7.0,Apartment_5to10storey,Reinforced Concrete,69.0,50.05,1,1,1,1,No carpark,0.0,0,39.34,4.2,0.0,1,4180000,83516
2020-01-02,Zhongshan District,Land+Building,4.69,2,1,0,15.0,Apartment_11storeyorgreater,Reinforced Concrete,75.0,22.89,3,2,1,1,No carpark,0.0,0,17.42,0.2,1.25,1,2100000,91743
2020-01-10,Nangang District,Land+Building+Garage,70.32,1,1,1,5.0,Apartment_5to10storey,Reinforced Concrete,102.0,183.65,3,2,1,1,Ramp Plane,30.24,0,86.76,11.25,5.39,1,23300000,126872
2020-01-14,Xinyi District,,0.38,0,0,1,19.0,Other,Other,96.0,34.93,0,0,1,1,Ramp Plane,0.0,3300000,0.0,0.0,0.0,0,3300000,
2020-01-04,Xinyi District,Land+Building,22.25,1,1,0,4.0,Apartment_5storey,Reinforced Concrete,60.0,64.66,2,1,1,0,No carpark,0.0,0,61.84,0.0,2.82,0,13200000,204145
2020-01-14,Songshan District,Land+Building+Garage,8.15,1,1,1,15.0,Apartment_11storeyorgreater,Reinforced Concrete,107.0,124.46000000000001,2,2,1,1,Ramp Plane,36.39,3600000,51.6,3.18,4.54,1,37550000,385489
2020-01-16,Datong District,Land+Building,25.25,1,1,0,4.0,Apartment_5storey,Strengthened Brickwork,,75.5,2,1,1,0,No carpark,0.0,0,75.5,0.0,0.0,0,10300000,136424
